COD;DISCIPLINA;COD;ASSUNTO
5;Primeiros Socorros;127;Fratura de crânio
5;Primeiros Socorros;128;Fratura de costelas
5;Primeiros Socorros;129;Fratura de quadril
5;Primeiros Socorros;130;Queimaduras
5;Primeiros Socorros;131;Ferimentos nos olhos
5;Primeiros Socorros;132;Ferimento no tórax e abdômen
5;Primeiros Socorros;133;Movimentação e transporte de emergência
6;Mecânica Básica;134;Introdução
6;Mecânica Básica;135;Motor
6;Mecânica Básica;136;Combustível
6;Mecânica Básica;137;Lubrificante
6;Mecânica Básica;138;Refrigeração
6;Mecânica Básica;139;Sistema elétrico
6;Mecânica Básica;140;Câmbio e embreagem
6;Mecânica Básica;141;Direção
6;Mecânica Básica;142;Suspensão
6;Mecânica Básica;143;Freios
6;Mecânica Básica;144;Pneus 
6;Mecânica Básica;145;Extintores de incêndio
6;Mecânica Básica;146;Painel de instrumentos
6;Mecânica Básica;147;Equipamentos obrigatórios
6;Mecânica Básica;148;Mecânica de motocicletas
6;Mecânica Básica;149;Problemas mecânicos
6;Mecânica Básica;150;Equipamentos de segurança do piloto
7;Meio Ambiente;151;Planeta terra
7;Meio Ambiente;152;Meio ambiente
7;Meio Ambiente;153;Ecologia
7;Meio Ambiente;154;A água
7;Meio Ambiente;155;Poluição
7;Meio Ambiente;156;Poluição do ar
7;Meio Ambiente;157;Trânsito e meio ambiente
7;Meio Ambiente;158;Principais gases emitidos
7;Meio Ambiente;159;Emissão de partículas
7;Meio Ambiente;160;Emissão sonora
7;Meio Ambiente;161;Cuidados com o motor do veículo
7;Meio Ambiente;162;Lixo e outros poluentes
7;Meio Ambiente;163;Os veículos poluidores
8;Cidadania;164;Indivíduo
8;Cidadania;165;Grupo social
8;Cidadania;166;Sociedade
8;Cidadania;167;O indivíduo e a sociedade
8;Cidadania;168;Diferenças individuais
8;Cidadania;169;Relacionamento interpessoal
8;Cidadania;170;O cidadão e o trânsito
9;Relacionamento Interpessoal;171;Introdução
9;Relacionamento Interpessoal;172;O indivíduo, o grupo e a sociedade
9;Relacionamento Interpessoal;173;O indivíduo e a sociedade
9;Relacionamento Interpessoal;174;Diferenças individuais
9;Relacionamento Interpessoal;175;O bom relacionamento
9;Relacionamento Interpessoal;176;Bom relacionamento no trânsito
9;Relacionamento Interpessoal;177;Qualidade no relacionamento interpessoal
9;Relacionamento Interpessoal;178;O cidadão e o trânsito
9;Relacionamento Interpessoal;179;Comportamento no trânsito
9;Relacionamento Interpessoal;180;Tipos de comportamento
9;Relacionamento Interpessoal;181;Conflitos no trânsito
9;Relacionamento Interpessoal;182;O estresse
9;Relacionamento Interpessoal;183;O estresse e o trânsito
10;Proteção ao Meio Ambiente e Cidadania;184;Relação trânsito e meio ambiente
10;Proteção ao Meio Ambiente e Cidadania;185;Preservação do meio
10;Proteção ao Meio Ambiente e Cidadania;186;Indivíduo/grupo/sociedade: postura e papel social. 
10;Proteção ao Meio Ambiente e Cidadania;187;Veículo como agente poluidor
10;Proteção ao Meio Ambiente e Cidadania;188;Tipos de poluição – emissão: de gases, sonora, de partículas
10;Proteção ao Meio Ambiente e Cidadania;189;Manutenção preventiva
10;Proteção ao Meio Ambiente e Cidadania;190;Legislação específica (CONAMA)
10;Proteção ao Meio Ambiente e Cidadania;191;Relações humanas e trânsito
10;Proteção ao Meio Ambiente e Cidadania;192;Relações Interpessoais no trânsito
10;Proteção ao Meio Ambiente e Cidadania;193;Indivíduo como cidadão
10;Proteção ao Meio Ambiente e Cidadania;194;Responsabilidade do cidadão no trânsito
10;Proteção ao Meio Ambiente e Cidadania;195;Cidadão e o espaço público
10;Proteção ao Meio Ambiente e Cidadania;196;Uso racional do veículo
10;Proteção ao Meio Ambiente e Cidadania;197;Direitos e deveres do cidadão
11;Legislação de Trânsito Específica- Instrutor;198;Normas legais (CTB, Resoluções e Portarias)
11;Legislação de Trânsito Específica- Instrutor;199;Órgãos de trânsito e suas competências
11;Legislação de Trânsito Específica- Instrutor;200;DETRAN e CFC
11;Legislação de Trânsito Específica- Instrutor;201;Educação para o Trânsito
11;Legislação de Trânsito Específica- Instrutor;202;Regras de circulação
11;Legislação de Trânsito Específica- Instrutor;203;Sinalização de Trânsito
11;Legislação de Trânsito Específica- Instrutor;204;Habilitação: formação e documentos obrigatórios
11;Legislação de Trânsito Específica- Instrutor;205;Curso de reciclagem para infratores
